SSN,payment_history,credit_utilization,len_credit_history,mix_credit,new_credit,credit_score
614992777,0.62,0.19,0.58,0.17,0.45,315
748719818,0.75,0.11,0.42,0.37,0.56,407
546683791,0.63,0.12,0.6,0.24,0.09,743
284926784,0.75,0.19,0.55,0.37,0.46,371
948695116,0.93,0.2,0.82,1,0.56,473
189732766,0.08,0.09,0.4,0.37,0.03,417
979709834,0.9,0.14,0.35,0.37,0.45,465
38270333,0.63,0.24,0.98,0.37,0.46,343
161543394,0.75,0.03,0.72,0.76,0.77,519
23707563,0.55,0.17,0.66,0.01,0.28,370
79807718,0.56,0.16,0.01,0.57,0.35,307
983005459,0.55,0.21,0.37,0.7,0.36,321
824824239,0.67,0.2,0.04,0.37,0.13,380
93075497,0.95,0.17,0.98,0.37,0.67,438
744709387,0.68,0.23,0.99,0.37,0.55,342
522559711,0.75,0.02,0.45,0.37,0.75,453
143803143,0.75,0.18,0.42,0.37,0.15,525
716989205,0.55,0.1,0.96,0.1,0.31,568
705512599,0.58,0.15,0.82,0.79,0.73,343
93650848,0.75,0.17,0.82,0.88,0.22,649
278100695,0.63,0.15,0.81,0.83,0.44,478
302448083,0.75,0.21,1,0.37,0.57,375
24395078,0.55,0.14,0.53,0.96,0.31,504
36728671,0.55,0.17,0.23,0.94,0.23,434
730386299,0.55,0.14,0.82,0.72,0.53,408
69836378,0.05,0.04,0.42,0.96,0.32,401
577486641,0.75,0.08,0.2,0.37,0.46,471
320506002,0.75,0.13,0.71,0.37,0.65,390
72388612,0.55,0.15,0.82,0.09,0.16,532
835718435,0.75,0.24,0.82,0.97,0.48,402
323322949,0.63,0.06,0.82,0.97,0.68,512
909091397,0.55,0.18,0.25,0.59,0.31,340
195998159,0.55,0.11,0.99,0.37,0.78,341
968018773,0.55,0.16,0.95,0.92,0.56,411
973103639,0.55,0.23,0.8,0.87,0.59,312
735767637,0.95,0.18,0.67,0.37,0.6,412
587779365,0.73,0.26,0.09,0.37,0.1,348
70028763,0.93,0.08,0.52,0.37,0.66,489
45419166,0.62,0.1,0.42,0.37,0.62,345
794916798,0.55,0.24,0.99,0.25,0.39,330
754689098,1,0.13,0.82,0.37,0.57,531
373886921,0.26,0.1,0.78,0.82,0.17,617
77637166,0.97,0.26,0.34,0.37,0.62,305
434296615,0.93,0.14,0.4,0.37,0.69,381
968965869,0.61,0.03,0.79,0.37,0.61,527
901178193,0.75,0.11,0.7,0.37,0.48,499
780889267,0.91,0.23,0.42,0.37,0.36,399
967919544,0.1,0.15,0.47,0.61,0.01,362
884052546,0.53,0.23,0.25,0.37,0.14,314
142543,0.91,0.13,0.82,0.37,0.46,563
284193918,0.7,0.17,0.55,0.37,0.18,528
147190799,0.82,0.09,0.5,0.92,0.61,516
331876299,0.75,0.11,0.82,0.81,0.53,542
691551474,0.75,0.08,0.62,0.37,0.95,330
232864506,0.71,0.18,0.56,0.83,0.02,742
443628777,0.55,0.08,0.75,0.62,0.35,622
884661229,0.27,0.01,0.37,0.37,0.39,445
539410322,0.96,0.21,0.25,0.92,0.78,330
771459803,0.93,0.03,0.49,0.37,0.5,739
433255641,0.62,0.14,0.48,0.74,0.78,303
423042968,0.55,0.22,0.97,0.99,0.46,390
289989259,0.55,0.02,0.95,0.33,0.61,549
210184192,0.22,0.06,0.8,0.37,0.41,397
48218694,0.55,0.13,0.71,0.98,0.48,456
402345561,0.55,0.1,0.52,0.37,0.28,530
85979573,0.55,0.06,0.82,0.37,0.6,452
36636189,0.21,0.03,0.45,0.56,0.2,679
66411436,0.55,0.19,0.25,0.75,0.13,436
91221556,0.56,0.14,0.22,0.97,0.32,441
829955444,0.55,0.14,0.25,0.37,0.37,338
853712324,0.55,0.05,0.82,0.32,0.43,599
494703299,0.99,0.2,0.11,0.86,0,748
270820136,0.69,0.11,0.65,0.95,0.56,488
870490228,0.62,0.16,0.45,0.75,0.19,537
86246437,0.33,0.11,0.25,0.37,0.15,396
326090209,0.89,0.23,0.69,0.37,0.46,393
453958065,1,0.21,0.74,0.37,0.48,449
507501403,0.99,0.13,0.65,0.87,0.46,625
95857652,0.74,0,0.83,0.95,0.74,647
428366942,0.68,0.13,0.81,0.78,0.19,754
277711621,0.55,0.16,0.14,0.81,0.43,324
930133029,0.23,0.15,0.81,0.17,0.06,429
642449183,0.25,0.11,0.43,0.77,0.4,314
941927196,0.55,0.11,0.82,0.64,0.33,575
342085999,0.67,0.18,0.82,0.37,0.72,313
950632082,0.91,0.22,0.42,0.97,0.1,630
106012512,0.55,0.18,0.82,0.93,0.22,538
736555815,0.55,0.18,0.58,0.37,0.25,401
976366681,0.92,0.06,0.51,0.99,0.68,578
860707933,0.95,0.22,0.54,0.37,0.17,543
80821577,0.53,0.17,0.36,0.27,0.16,399
55050582,0.06,0.01,0.36,0.37,0.32,320
70261346,0.65,0.21,0.42,0.37,0.27,364
19503946,0.55,0.25,0.66,0.86,0.16,415
61724739,1,0.26,0.97,0.92,0.04,716
869888218,0.55,0.06,0.82,0.31,0.56,468
144111619,0.55,0.17,0.61,1,0.34,452
755713544,0.55,0.21,0.99,0.69,0.62,328
547165693,0.65,0.21,0.82,0.37,0.56,326
677302474,0.55,0.2,0.51,0.37,0.04,478
944707475,0.91,0.14,0.15,0.37,0.29,532
37420313,0.75,0.2,0.75,0.37,0.56,355
339439681,0.75,0.14,0.25,0.37,0.38,421
103132673,0.75,0.19,0.73,0.37,0.37,435
950892423,0.24,0.08,0.82,0.59,0.35,451
249204656,0.75,0.09,0.74,0.37,0.55,501
953545818,0.64,0.13,0.82,0.37,0.23,619
686769643,0.55,0.21,0.81,0.76,0.56,328
788446163,0.53,0.05,0.69,0.15,0.49,476
252736899,0.64,0.26,0.82,0.9,0.41,367
866581581,0.73,0.08,0.82,0.37,0.29,784
92348215,0.93,0.13,0.47,0.86,0.56,507
479598953,0.75,0.01,0.25,0.37,0.62,518
16316329,0.65,0.14,0.13,0.37,0.45,326
143453359,0.56,0.09,0.18,0.22,0.35,395
173862527,0.1,0.07,0.75,0.99,0.57,316
581763204,0.76,0.12,0.82,0.37,0.95,325
519691553,0.75,0.04,0.09,0.37,0.55,467
857481481,0.63,0.06,0.82,0.75,0.85,406
954759946,0.92,0.24,0.17,0.88,0.17,489
507079927,0.95,0.21,0.82,0.37,0.16,623
44575141,0.75,0.04,0.74,0.37,0.99,370
504555195,0.6,0.03,0.63,0.61,0.56,562
829164202,0.62,0.14,0.76,0.03,0,795
841977985,0.06,0.04,0.7,0.09,0.29,329
591038085,0.91,0.05,0.82,0.37,0.65,598
624565443,0.92,0.25,0.96,0.93,0.18,601
412983491,0.89,0.19,0.51,0.37,0.27,506
536931498,0.55,0.14,0.82,0.02,0.13,577
566961595,0.93,0.02,0.71,0.96,0.82,600
35820025,0.58,0.05,0.25,0.99,0.96,306
665299846,0.22,0.22,0.97,0.65,0.22,327
911707173,0.75,0.04,0.39,0.81,0.57,583
91783611,0.57,0.09,0.98,0.37,0.46,525
764758561,0.75,0.15,0.69,0.37,0.51,420
70437515,0.74,0.08,0.76,0.78,0.62,524
86988942,0.76,0.18,0.19,0.77,0.56,338
129566727,0.76,0.17,0.7,0.37,0.46,421
12958825,0.69,0.07,0.13,0.37,0.46,445
382305045,0.73,0.26,0.76,0.37,0.49,320
512025409,0.55,0.04,0.59,0.95,0.47,637
45532585,0.66,0.12,0.82,0.37,0.18,724
33988081,0.61,0.2,0.97,0.82,0.3,490
599403183,0.55,0.13,0.98,0.75,0.29,610
474684596,0.61,0.22,0.83,0.25,0.36,356
689946021,0.9,0.25,0.81,0.37,0.6,351
131672634,0.75,0.08,0.97,0.37,0.65,500
364822441,0.89,0.1,0.82,0.37,0.48,604
96657964,0.71,0.2,0.49,0.37,0.06,544
37610981,0.55,0.25,0.99,0.37,0.46,312
730426484,0.97,0.01,0.11,0.37,0.7,538
85526543,0.89,0.17,0.43,0.79,0.63,399
319781186,0.99,0.19,0.98,0.85,0.69,459
984156529,0.99,0.17,0.69,0.37,0.66,416
753348167,0.58,0.18,0.34,0.8,0.56,304
866889805,0.62,0.21,0.8,0.37,0.23,435
569157901,0.99,0.23,0.65,0.37,0.66,356
896528562,0.95,0.26,0.25,0.37,0.27,388
782077906,0.75,0.07,0.45,0.37,0.52,503
696700652,0.55,0.19,0.75,0.04,0.01,533
440842501,0.9,0.05,0.38,0.37,0.78,440
486956686,0.55,0.07,0.97,0.37,0.58,475
209415032,0.55,0.23,0.53,0.84,0.43,318
868202789,0.82,0.18,0.71,0.37,0.43,444
8906219,0.71,0.16,0.17,0.37,0.28,409
699407537,0.9,0.49,0.82,0.94,0.05,350
49440308,0.57,0.22,0.37,0.09,0.07,362
75948891,0.96,0.5,0.82,0.37,0.01,328
126467216,0.26,0.06,0.82,0.86,0.51,435
453778168,0.74,0.24,0.76,0.94,0.44,403
706977138,0.53,0.13,0.25,0.09,0.13,448
972848501,0.7,0.13,0.83,0.78,0.74,396
643577029,0.74,0.26,0.48,0.37,0.43,304
74491526,0.55,0.15,0.74,0.55,0.52,370
611160194,0.59,0.03,0.34,1,0.79,406
579039656,0.75,0.02,0.82,0.37,0.76,515
372130008,0.75,0.01,0.82,0.37,0.96,427
588018703,0.55,0.07,0.55,0.22,0.56,386
350167689,0.55,0.09,0.82,0.7,0.56,464
327533722,0.75,0.14,0.01,0.37,0.05,640
892012699,0.74,0.17,0.82,0.37,0.56,392
7533974,0.63,0,0.98,0.12,0.56,678
296102538,0.92,0.08,0.67,0.37,0.86,418
184653537,0.55,0.22,0.67,0.71,0.4,343
760311149,0.75,0.04,0.42,0.37,0.76,412
411694179,0.64,0.03,0.67,0.37,0.53,583
652014645,0.55,0.04,0.98,0.23,0.76,412
96245048,0.57,0.04,0.63,0.37,0.64,436
921824459,0.55,0.17,0.77,0.02,0,608
543301789,0.96,0.11,0.37,0.37,0.38,604
723581111,0.75,0.18,0.68,0.37,0.13,599
355739518,0.95,0.14,0.82,0.92,0.75,468
959401709,0.97,0.25,0.14,0.95,0.44,383
794896119,0.65,0.06,0.62,0.37,0.76,380
783901704,0.26,0.08,0.54,0.28,0.33,351
175663054,0.72,0.13,0.82,0.37,0.22,675
406915367,0.75,0.19,0.69,0.91,0.06,725
331711298,0.55,0.06,0.19,0.64,0.62,356
783343258,0.6,0.24,0.97,0.29,0.21,413
132204488,0.89,0.06,0.7,0.79,0.68,576
329197732,0.89,0.13,0.36,0.82,0.28,668
436115622,0.9,0.18,0.67,0.37,0.07,742
58095972,0.73,0.01,0.62,0.83,0.55,744
227662419,0.97,0.19,0.82,0.37,0.77,373
484127383,0.82,0.14,0.25,0.37,0.52,385
696237952,0.62,0.12,0.73,0.37,0.61,375
809433552,0.55,0.23,0.8,0.95,0.45,357
418376897,0.63,0.04,0.56,0.9,0.6,548
882497412,0.73,0.12,0.69,0.37,0.31,591
261428371,0.75,0.2,0.66,0.37,0.56,344
628707786,0.82,0.08,0.43,0.37,0.95,326
623629377,0.68,0.07,0.38,0.37,0.82,322
923879926,0.9,0.14,0.4,0.37,0.3,572
757759555,0.57,0.14,0.17,0.99,0.39,400
3034233,0.75,0.02,0.72,0.37,0.5,728
71787825,0.63,0.14,0.18,0.37,0.09,558
90350536,0.55,0.26,0.75,0.73,0.1,430
522384125,0.92,0.13,0.67,0.37,0.47,534
119605461,0.64,0.04,0.18,0.37,0.43,524
997816594,0.68,0.1,0.25,0.37,0.3,521
260682769,0.55,0.03,0.99,0.08,0.63,485
578856218,0.82,0.45,0.77,0.9,0.12,335
215526954,0.53,0.06,0.82,0.24,0.49,497
850010177,0.92,0.25,1,0.79,0.61,405
764697477,0.75,0.11,0.55,0.37,0.2,721
776497105,0.62,0.1,0.65,0.98,0.61,453
287247191,0.53,0.18,0.64,0.84,0.13,547
221266826,0.01,0.04,0.6,0.06,0.17,343
840990435,0.75,0.14,0.66,0.37,0.21,633
936048648,0.55,0.23,0.95,0.67,0.3,406
22689249,0.55,0.19,0.59,0.01,0.16,386
12325879,0.74,0.14,0.71,0.37,0.61,391
920208687,0.55,0.14,0.68,0.68,0.21,575
738219635,0.55,0.25,0.95,0.57,0.21,408
170897891,0.75,0.07,0.73,0.98,0.63,560
747086931,0.62,0.08,0.11,0.75,0.32,551
706398966,0.95,0.13,0.13,0.37,0.36,519
61311943,0.55,0.14,0.82,0.37,0.25,526
854256141,0.28,0.04,0.53,0.79,0.68,321
126300621,0.55,0.22,0.82,0.37,0.25,387
986898223,0.9,0.13,0.35,0.86,0.18,796
962000979,0.71,0.14,0.82,0.37,0.68,371
404666868,0.29,0.13,0.82,0.37,0.03,623
387892036,0.66,0.2,0.65,0.37,0.21,451
172235149,0.75,0.25,0.12,0.37,0,423
846374502,0.75,0.15,0.47,0.37,0.12,649
570399583,0.91,0.2,0.56,0.37,0.48,407
418879209,0.55,0.05,0.73,0.31,0.46,546
613943373,0.6,0.06,0.52,0.8,0.56,497
92356802,0.55,0.09,0.82,0.92,0.29,728
390645674,0.65,0.22,0.82,0.9,0.17,531
12229889,0.55,0.02,0.14,0.97,0.7,409
383905941,0.89,0.18,0.25,0.37,0.2,522
771431572,0.56,0.17,0.52,0.37,0.16,464
960263871,0.9,0.2,0.74,0.37,0.64,373
71976554,0.65,0.02,0.43,0.37,0.56,531
56370027,0.21,0.16,0.79,0.37,0.18,347
346785232,0.74,0.08,0.62,0.37,0.52,512
205022871,0.76,0.15,0.99,0.37,0.5,475
380698123,0.74,0.21,0.81,0.84,0.07,664
204357579,0.75,0.14,0,0.37,0.41,361
765575577,0.82,0.02,0.82,0.37,0.5,798
8612271,0.76,0.12,0.79,0.37,0.74,383
547438046,0.96,0.11,0.41,0.9,0.97,375
54727455,0.75,0.18,0.79,0.85,0.56,424
26274416,0.55,0.1,0.72,0.06,0.6,341
963757891,0.26,0.15,0.99,0.37,0.34,350
63163872,0.55,0.12,0.53,0.87,0.14,718
67687334,0.55,0.17,0.82,0.37,0.37,401
277987377,0.55,0.17,0.08,0.74,0.01,536
64993181,0.91,0.14,0.58,0.37,0.98,316
715880391,0.64,0.2,0.82,0.37,0.48,356
774779504,0.96,0.11,0.52,0.37,0.56,507
872601019,0.88,0.17,0.43,0.37,0.6,369
778032289,0.95,0.19,0.82,0.37,0.21,631
909777258,0.68,0.22,0.19,0.94,0.33,364
912218602,0.61,0.17,0.95,0.26,0.46,394
796124051,0.97,0.1,0.07,0.37,0.79,355
690203147,0.72,0.14,0.64,0.37,0.47,433
924218005,0.55,0.1,0.25,0.37,0.49,338
721144888,0.1,0.07,0.61,0.37,0.23,372
417524084,0.75,0.22,0.23,0.95,0.18,467
43902955,0.75,0.13,0.53,0.37,0.46,446
61849374,0.99,0.2,0.76,0.37,0.63,404
218940712,0.55,0.13,0.54,0.94,0.62,364
9971481,0.63,0.26,0.45,0.09,0.11,334
503065695,0.55,0.21,0.11,0.19,0.03,345
421247244,0.55,0.16,0.6,0.71,0.62,321
428696888,0.72,0.13,0.17,0.37,0.66,300
586440119,0.55,0.11,0.67,0.2,0.48,386
4045835,0.61,0.07,0.53,0.26,0.77,326
771072462,0.82,0.2,0.46,0.84,0.13,603
33662893,0.75,0.13,0.49,0.37,0.31,533
736750052,0.66,0.07,0.8,0.37,0.36,681
841659935,0.75,0.14,0.61,0.37,0.55,403
360646644,0.92,0.05,0.83,0.94,0.59,730
91207196,1,0.13,0.36,0.37,0.65,424
968440383,0.89,0.11,0.59,0.87,0.48,601
99308543,0.88,0.06,0.03,0.9,0.56,544
933942746,0.53,0.09,0.5,0.06,0.61,304
358164294,0.75,0.01,0.67,0.37,0.6,635
81545444,0.28,0.09,0.83,0.37,0.21,541
800707717,0.55,0.11,0.75,0.37,0.64,353
402770777,0.88,0.08,0.07,0.94,0.4,645
722326617,0.75,0.14,0.25,0.37,0.4,411
331664723,0.55,0.11,0.82,0.59,0.77,340
468796829,0.91,0.45,0.82,0.9,0.28,326
868142517,0.55,0.08,0.25,0.05,0.16,588
80021353,0.62,0.16,0.95,0.37,0.38,461
4021912,0.55,0,0,0.32,0.57,394
117521034,0.55,0.08,0.64,0.23,0.24,649
550529581,0.75,0.13,0.19,0.75,0.62,362
394765488,0.93,0.25,0.8,0.37,0.83,305
67549847,0.75,0.24,0.71,0.91,0.26,469
502915098,0.82,0.15,0.59,0.87,0.83,361
678722324,0.75,0.05,0.25,0.37,0.44,571
825436575,0.55,0.2,0.98,0.28,0.21,454
768725399,0.7,0.08,0.71,1,0.86,410
742861522,0.29,0.09,0.6,0.77,0.14,655
191812682,0.88,0.25,0.71,0.37,0.7,311
